y	m	p_m1	p_m	STATUS	NOTE	UPm1_num	LOm_num	DEN	gap_lo_num	gap_hi_num	gap_DEN
383	14423	157679	157721	OK		415885650414317245344380629700266957604426	415889454612020461792660142011344274471320	600000000000000000000000000000000000000000	55970510413874136761188302653009083003876164396851933202846873233731356600000000000000000000000000000000000000000	265792164994030595864317463898324087408061615315247240800569603617318181682600000000000000000000000000000000000000000	-
389	14841	162821	162823	OK		415885664537668160441379279170395952652936	415889349531849447454416020230888589532620	600000000000000000000000000000000000000000	50839642688564652184929491340267935542938664396851933202846873233731356600000000000000000000000000000000000000000	264379829902520895999370450998819236408061615315247240800569603617318181682600000000000000000000000000000000000000000	-
397	15266	168043	168067	OK		415886489558429170809492807827376258083091	415890059573668682403372127209610825839020	600000000000000000000000000000000000000000	85509653393396144182340561761962583980438664396851933202846873233731356600000000000000000000000000000000000000000	181877753801484084646504752968276220908061615315247240800569603617318181682600000000000000000000000000000000000000000	-
401	15696	173249	173263	OK		415888307443914349569926951887580168561713	415891770397336716737111587082224736154690	600000000000000000000000000000000000000000	169045965309135096304404654238052216304657414396851933202846873233731356600000000000000000000000000000000000000000	89205283608041232098732577228358708061615315247240800569603617318181682600000000000000000000000000000000000000000	-
409	16134	178603	178609	OK		415887304646662631096747269689200464336351	415890663949094644005944066607959785813280	600000000000000000000000000000000000000000	115020172239177519765318996769773827144501164396851933202846873233731356600000000000000000000000000000000000000000	100368930455455359200318570547650894908061615315247240800569603617318181682600000000000000000000000000000000000000000	-
419	16576	183917	183919	OK		415885370776698281976354805641078606482222	415888633091089936617207598319652503231740	600000000000000000000000000000000000000000	15857183728074554117453356765741525386688664396851933202846873233731356600000000000000000000000000000000000000000	293755926890367398446723382733436307808061615315247240800569603617318181682600000000000000000000000000000000000000000	-
421	17021	189253	189257	OK		415886282049883230513768789624800971718296	415889452350350238009827652637290888487475	600000000000000000000000000000000000000000	55860077297478490643543085202521590572235539396851933202846873233731356600000000000000000000000000000000000000000	202628608395513657048325010496912700408061615315247240800569603617318181682600000000000000000000000000000000000000000	-
431	17477	194819	194827	OK		415887618852030557386986667940753100443048	415890698515070492294659190507317514434900	600000000000000000000000000000000000000000	116707964028644742183478145096366679683563664396851933202846873233731356600000000000000000000000000000000000000000	68948393662826335260493415284040225208061615315247240800569603617318181682600000000000000000000000000000000000000000	-
433	17935	200381	200383	OK		415887699626421216878940334928866020048489	415890693899733834315345539121719918242615	600000000000000000000000000000000000000000	116482605793391846009094082713740103267548039396851933202846873233731356600000000000000000000000000000000000000000	60870954596877139893794603992079681108061615315247240800569603617318181682600000000000000000000000000000000000000000	-
439	18404	206237	206249	OK		415887227241743034964646347100905777507546	415890136353677874036969112788585793795195	600000000000000000000000000000000000000000	89258677279706378410152035149069819087860539396851933202846873233731356600000000000000000000000000000000000000000	108109422415068569292577400016333775408061615315247240800569603617318181682600000000000000000000000000000000000000000	-
