[sieve] sieving primes up to 950000000 ...
y	m	p_m1	p_m	STATUS	gap_log
2521	445784	6521717	6521737	OK	8.231965e-08
2531	448379	6562177	6562211	OK	1.504825e-07
2539	450979	6602957	6602963	OK	1.015266e-07
2543	453587	6643883	6643891	OK	8.043476e-08
2549	456207	6685697	6685711	OK	2.716967e-08
2551	458838	6726397	6726427	OK	1.177661e-07
2557	461482	6767977	6767983	OK	5.351970e-08
2579	464137	6810091	6810103	OK	1.127277e-07
2591	466785	6851573	6851587	OK	9.851343e-08
2593	469437	6892351	6892363	OK	1.381088e-07
2609	472102	6934667	6934673	OK	2.468621e-08
2617	474768	6976169	6976181	OK	1.088732e-07
2621	477441	7018573	7018577	OK	5.558359e-08
2633	480126	7060223	7060231	OK	2.056192e-08
2647	482815	7102573	7102577	OK	7.488488e-09
2657	485506	7145647	7145651	OK	2.530867e-08
2659	488203	7188371	7188413	OK	3.947191e-08
2663	490914	7231397	7231403	OK	4.061672e-08
2671	493637	7274107	7274117	OK	3.580225e-08
2677	496368	7317139	7317143	OK	4.303777e-08
2683	499109	7360937	7360957	OK	3.502100e-08
2687	501860	7404517	7404563	OK	1.882244e-08
2689	504624	7447991	7447997	OK	1.081827e-07
2693	507401	7492369	7492391	OK	2.882787e-08
2699	510191	7537027	7537037	OK	2.623741e-08
2707	512992	7581481	7581487	OK	1.311108e-07
2711	515800	7625591	7625599	OK	8.532687e-08
2713	518620	7670233	7670249	OK	1.034495e-08
2719	521455	7715053	7715069	OK	1.226133e-08
2729	524301	7760717	7760743	OK	9.632229e-08
2731	527152	7806187	7806193	OK	1.186670e-08
2741	530019	7851323	7851329	OK	1.178635e-07
2749	532891	7896491	7896527	OK	9.642335e-08
[400/3244] y=2749 m=532891 p_m=7896527 (prime_max=949999993)
2753	535771	7942481	7942499	OK	4.178323e-08
2767	538664	7988293	7988339	OK	5.188242e-08
2777	541559	8035051	8035061	OK	5.542069e-08
2789	544460	8081057	8081063	OK	3.022582e-08
2791	547366	8127331	8127341	OK	9.908198e-08
2797	550286	8174329	8174363	OK	1.018998e-07
2801	553216	8220577	8220581	OK	6.503157e-08
2803	556159	8267719	8267747	OK	9.592792e-08
2819	559116	8314459	8314487	OK	4.102465e-08
2833	562074	8361709	8361721	OK	1.189192e-07
2837	565033	8409041	8409047	OK	6.784012e-08
2843	568005	8457049	8457061	OK	6.360832e-08
2851	570988	8504417	8504423	OK	1.158274e-07
2857	573978	8551667	8551687	OK	2.943986e-08
2861	576979	8599219	8599223	OK	2.226530e-08
2879	579993	8647459	8647469	OK	7.286598e-08
2887	583004	8695277	8695301	OK	2.362106e-08
2897	586024	8743279	8743309	OK	5.948679e-08
2903	589050	8791283	8791297	OK	7.512972e-08
2909	592086	8840317	8840333	OK	3.898201e-08
2917	595133	8889263	8889301	OK	4.702728e-08
2927	598188	8937917	8937919	OK	9.987895e-09
2939	601250	8987213	8987219	OK	5.594162e-08
2953	604316	9037079	9037087	OK	6.840296e-08
2957	607384	9086299	9086321	OK	5.015590e-08
2963	610465	9135913	9135923	OK	8.609267e-08
2969	613556	9185191	9185237	OK	6.966955e-08
2971	616657	9234413	9234457	OK	1.134451e-08
2999	619774	9284377	9284393	OK	1.070873e-07
3001	622877	9334357	9334363	OK	3.517302e-08
3011	625995	9384269	9384281	OK	1.297373e-08
3019	629120	9435011	9435047	OK	5.875594e-08
3023	632253	9485627	9485687	OK	4.858646e-08
3037	635399	9535979	9536017	OK	8.474598e-08
3041	638546	9585893	9585911	OK	1.121642e-09
3049	641707	9637073	9637081	OK	8.743502e-08
3061	644875	9687751	9687787	OK	3.081347e-08
3067	648048	9738829	9738847	OK	4.623554e-08
3079	651231	9790559	9790579	OK	1.180125e-08
3083	654419	9841739	9841747	OK	5.599787e-08
3089	657619	9893809	9893831	OK	2.904817e-08
3109	660830	9945841	9945847	OK	4.236536e-08
3119	664037	9998273	9998279	OK	4.391692e-08
3121	667250	10049801	10049821	OK	2.822360e-09
3137	670478	10101607	10101617	OK	1.660890e-08
3163	673706	10153439	10153447	OK	1.761171e-08
3167	676924	10206331	10206359	OK	2.182390e-08
3169	680155	10258517	10258543	OK	7.172524e-08
3181	683400	10310957	10310983	OK	8.490763e-08
3187	686649	10363433	10363459	OK	6.802233e-08
3191	689908	10415653	10415663	OK	1.923900e-08
3203	693180	10468261	10468267	OK	3.424433e-08
3209	696456	10521031	10521053	OK	3.560084e-08
3217	699743	10574041	10574059	OK	9.148232e-08
3221	703037	10627489	10627553	OK	1.616003e-08
3229	706345	10680587	10680617	OK	8.655575e-08
3251	709660	10733831	10733867	OK	4.692629e-08
3253	712970	10788263	10788293	OK	8.789831e-08
3257	716294	10841849	10841921	OK	7.052246e-08
3259	719630	10896211	10896239	OK	1.455167e-08
3271	722982	10949761	10949773	OK	9.111595e-08
3299	726337	11004341	11004347	OK	5.184383e-08
3301	729680	11058739	11058743	OK	3.616774e-09
3307	733038	11112637	11112641	OK	1.961586e-08
3313	736407	11167787	11167817	OK	8.413211e-08
3319	739785	11222357	11222417	OK	3.044201e-08
3323	743174	11278037	11278049	OK	1.927271e-08
3329	746576	11333167	11333173	OK	4.342944e-08
3331	749988	11389207	11389219	OK	1.821415e-08
3343	753415	11444957	11444959	OK	1.735018e-08
3347	756847	11500343	11500351	OK	7.588269e-08
3359	760291	11556011	11556019	OK	8.321051e-08
3361	763739	11611549	11611559	OK	6.715925e-08
3371	767201	11667829	11667833	OK	8.024356e-09
3373	770671	11724751	11724763	OK	7.433308e-08
3389	774155	11781733	11781761	OK	7.361874e-08
3391	777639	11838361	11838367	OK	5.336701e-08
3407	781138	11895431	11895437	OK	4.941316e-08
3413	784637	11951909	11951923	OK	2.627977e-08
3433	788147	12009541	12009551	OK	4.618243e-08
3449	791653	12066331	12066337	OK	4.135737e-08
3457	795159	12123899	12123949	OK	6.953397e-09
3461	798674	12181567	12181577	OK	1.737830e-08
3463	802202	12238843	12238859	OK	6.178268e-08
3467	805744	12296849	12296873	OK	5.466360e-08
3469	809298	12354821	12354851	OK	5.218078e-09
3491	812868	12411947	12411953	OK	7.010309e-08
3499	816431	12470677	12470681	OK	4.626777e-08
3511	820003	12528869	12528871	OK	5.279559e-08
3517	823579	12588031	12588053	OK	1.633866e-08
3527	827166	12646463	12646471	OK	1.877564e-08
3529	830760	12705317	12705323	OK	5.981316e-08
3533	834368	12763469	12763493	OK	5.981531e-08
3539	837988	12822911	12822917	OK	1.730770e-08
3541	841619	12882059	12882083	OK	8.478232e-09
3547	845265	12942673	12942691	OK	4.389039e-09
3557	848922	13002779	13002791	OK	1.061028e-08
3559	852586	13063417	13063433	OK	4.831814e-08
3571	856264	13124311	13124339	OK	1.426738e-09
3581	859948	13184663	13184693	OK	6.207949e-08
3583	863637	13245049	13245077	OK	7.044028e-09
3593	867342	13305953	13305961	OK	3.280276e-08
3607	871053	13366571	13366579	OK	1.441283e-08
3613	874767	13427749	13427753	OK	3.656910e-08
3617	878492	13489481	13489529	OK	6.817808e-08
3623	882229	13551119	13551133	OK	2.980866e-08
3631	885977	13612229	13612231	OK	4.993092e-09
3637	889734	13673501	13673507	OK	9.813721e-09
3643	893502	13735823	13735829	OK	3.669340e-08
3659	897280	13797379	13797383	OK	1.490906e-09
3671	901059	13859591	13859597	OK	1.057177e-08
3673	904843	13920979	13920997	OK	5.878518e-08
3677	908641	13984559	13984571	OK	4.076616e-08
3691	912452	14047639	14047673	OK	1.392225e-08
3697	916266	14110219	14110231	OK	1.654439e-08
3701	920091	14173171	14173177	OK	3.935980e-08
3709	923929	14236951	14236987	OK	5.584977e-08
3719	927775	14299973	14299991	OK	2.108270e-08
3727	931628	14362609	14362619	OK	1.228991e-08
3733	935490	14426117	14426141	OK	3.321692e-08
3739	939363	14490191	14490193	OK	6.007557e-08
3761	943246	14554637	14554649	OK	1.932421e-08
3767	947124	14618459	14618473	OK	3.042064e-08
3769	951013	14682937	14682973	OK	4.244815e-08
3779	954917	14747311	14747353	OK	5.721918e-08
3793	958827	14811413	14811427	OK	2.901423e-08
3797	962740	14876171	14876177	OK	3.109337e-08
3803	966666	14941561	14941579	OK	2.828368e-08
3821	970603	15006991	15007021	OK	2.730552e-08
3823	974539	15072077	15072089	OK	5.869529e-08
3833	978489	15137359	15137363	OK	2.112517e-08
3847	982447	15203431	15203449	OK	6.460555e-08
3851	986407	15268511	15268537	OK	6.327935e-08
3853	990379	15334199	15334217	OK	9.898356e-09
3863	994367	15401137	15401159	OK	1.510680e-08
3877	998362	15467513	15467533	OK	1.826006e-08
3881	1002360	15533017	15533029	OK	4.699209e-08
3889	1006370	15598831	15598871	OK	2.647010e-08
3907	1010389	15665327	15665333	OK	1.916840e-08
3911	1014407	15732127	15732137	OK	4.458042e-08
3917	1018437	15799363	15799387	OK	5.737871e-09
3919	1022479	15865439	15865441	OK	3.231301e-08
3923	1026535	15932743	15932753	OK	3.015267e-09
3929	1030605	16000381	16000393	OK	3.222421e-08
3931	1034686	16068659	16068667	OK	5.671599e-08
3943	1038781	16136753	16136759	OK	4.831155e-09
3947	1042882	16205027	16205039	OK	2.302204e-08
3967	1046996	16272743	16272769	OK	3.796830e-08
3989	1051106	16342187	16342189	OK	2.438255e-08
4001	1055211	16410409	16410419	OK	3.398583e-08
4003	1059320	16478207	16478213	OK	1.304525e-09
4007	1063445	16547017	16547059	OK	2.958588e-08
4013	1067583	16615561	16615567	OK	4.807336e-08
4019	1071731	16684543	16684567	OK	1.456374e-08
4021	1075891	16753669	16753673	OK	4.071655e-08
4027	1080065	16822307	16822313	OK	3.900265e-09
4049	1084251	16892731	16892749	OK	2.359815e-08
4051	1088431	16961177	16961179	OK	1.588399e-08
4057	1092626	17030579	17030609	OK	1.357874e-08
4073	1096832	17100463	17100467	OK	1.213633e-08
4079	1101039	17171699	17171711	OK	2.704705e-08
4091	1105257	17242223	17242229	OK	2.491971e-08
4093	1109480	17312479	17312483	OK	3.363011e-08
4099	1113718	17382817	17382821	OK	4.532431e-08
4111	1117966	17453053	17453087	OK	6.501933e-10
4127	1122220	17523307	17523329	OK	2.982519e-08
4129	1126474	17593733	17593747	OK	2.547810e-08
